LISTA DE IMPACTOS DETECTADOS (segundos):
- Inicio: 376.54s, Fin: 377.00s (Duración: 0.47s)
- Inicio: 377.20s, Fin: 377.67s (Duración: 0.47s)
- Inicio: 377.87s, Fin: 377.87s (Duración: 0.00s)
- Inicio: 378.07s, Fin: 378.34s (Duración: 0.27s)
- Inicio: 378.54s, Fin: 378.54s (Duración: 0.00s)
- Inicio: 379.27s, Fin: 379.27s (Duración: 0.00s)
- Inicio: 380.40s, Fin: 380.47s (Duración: 0.07s)
- Inicio: 380.67s, Fin: 380.80s (Duración: 0.13s)
- Inicio: 381.27s, Fin: 381.34s (Duración: 0.07s)
- Inicio: 381.87s, Fin: 381.87s (Duración: 0.00s)
- Inicio: 382.34s, Fin: 382.40s (Duración: 0.07s)
- Inicio: 382.60s, Fin: 382.60s (Duración: 0.00s)
- Inicio: 384.94s, Fin: 385.00s (Duración: 0.07s)
- Inicio: 387.20s, Fin: 387.20s (Duración: 0.00s)
- Inicio: 387.54s, Fin: 387.54s (Duración: 0.00s)
- Inicio: 388.54s, Fin: 388.54s (Duración: 0.00s)
- Inicio: 388.74s, Fin: 388.80s (Duración: 0.07s)
- Inicio: 389.00s, Fin: 389.00s (Duración: 0.00s)
- Inicio: 389.14s, Fin: 389.40s (Duración: 0.27s)
- Inicio: 389.60s, Fin: 389.60s (Duración: 0.00s)
- Inicio: 389.74s, Fin: 390.00s (Duración: 0.27s)
- Inicio: 390.20s, Fin: 390.20s (Duración: 0.00s)
- Inicio: 391.20s, Fin: 391.54s (Duración: 0.33s)
- Inicio: 391.74s, Fin: 391.87s (Duración: 0.13s)
- Inicio: 392.07s, Fin: 392.27s (Duración: 0.20s)
- Inicio: 392.40s, Fin: 393.67s (Duración: 1.27s)
- Inicio: 394.00s, Fin: 394.34s (Duración: 0.33s)
- Inicio: 394.80s, Fin: 394.80s (Duración: 0.00s)
- Inicio: 394.94s, Fin: 394.94s (Duración: 0.00s)
- Inicio: 395.14s, Fin: 395.27s (Duración: 0.13s)
- Inicio: 396.07s, Fin: 396.07s (Duración: 0.00s)
- Inicio: 396.27s, Fin: 396.47s (Duración: 0.20s)
- Inicio: 398.00s, Fin: 398.00s (Duración: 0.00s)
- Inicio: 399.40s, Fin: 399.40s (Duración: 0.00s)
- Inicio: 403.67s, Fin: 404.00s (Duración: 0.33s)
- Inicio: 404.34s, Fin: 404.54s (Duración: 0.20s)
- Inicio: 404.94s, Fin: 404.94s (Duración: 0.00s)
- Inicio: 405.67s, Fin: 405.67s (Duración: 0.00s)
